name,service_type,lat,lng,phone,phone_source,address,district,state,country,postcode,operator,source,last_verified
Aral,fuel,52.983085,8.8775566,112,fallback,78 Sudweyher Straße,Weyhe,Canillo,AD,28844,Glade,osm_enriched,2026-05-26T10:32:05.929487+00:00
Classic,fuel,52.9876421,8.8710408,112,fallback,4 Kirchweyher Straße,Weyhe,Canillo,AD,28844,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Shell,fuel,53.0553686,8.7998152,112,fallback,170 Neuenlander Straße,El Tarter,Canillo,AD,,G&W Tankstellen GmbH,osm_enriched,2026-05-26T10:32:05.929487+00:00
Shell,fuel,53.4724344,9.8478695,49407016386,real,361 Cuxhavener Straße,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Aral,fuel,51.8830844,8.2327859,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Autohof Altenwerder,fuel,53.5130531,9.9138334,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
BFT,fuel,51.6222148,7.5156783,112,fallback,72 Borker Straße,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Polizeistation Neu Wulmstorf,police,53.4655205,9.80013,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Aral,fuel,51.4438681,6.661013,49284151105,real,454 Römerstraße,Moers,Canillo,DE,47441,Aral AG,osm_enriched,2026-05-26T10:32:05.929487+00:00
Markant,fuel,51.4385811,6.6575712,112,fallback,,El Tarter,Canillo,AD,,Thorsten Schanzenbach,osm_enriched,2026-05-26T10:32:05.929487+00:00
Kuster Energy,fuel,51.4498112,6.6510816,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Shell,fuel,51.4418267,6.6404303,112,fallback,,El Tarter,Canillo,AD,,Shell,osm_enriched,2026-05-26T10:32:05.929487+00:00
Hoyer Tank-Treff Harburg,fuel,53.468391,9.9923474,494076621613,real,,El Tarter,Canillo,AD,,Wilhelm Hoyer GmbH & Co.KG,osm_enriched,2026-05-26T10:32:05.929487+00:00
Shell,fuel,52.2354499,9.8459916,4950669015666,real,1 Nordring,Sarstedt,Canillo,AD,31157,Deutsche Shell Holding GmbH,osm_enriched,2026-05-26T10:32:05.929487+00:00
Westfalen,fuel,51.4873665,6.6328753,112,fallback,306 Rheinberger Straße,Moers,Canillo,DE,47445,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Raiffeisen,fuel,52.6830342,9.6121865,495071511730,real,5 Mönkeberg,Schwarmstedt,Canillo,DE,29690,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Esso,fuel,51.3388571,6.8689803,112,fallback,2 Am Krummenweg,Ratingen,Canillo,DE,40885,Esso,osm_enriched,2026-05-26T10:32:05.929487+00:00
Markant,fuel,51.5640905,7.0848869,112,fallback,215 Cranger Straße,Gelsenkirchen,Canillo,DE,45891,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Jet,fuel,51.457755,7.0043625,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
ARAL,fuel,51.4472216,7.0458433,112,fallback,281 Steeler Straße,Essen,Canillo,DE,45138,Aral,osm_enriched,2026-05-26T10:32:05.929487+00:00
Shell,fuel,51.4464371,7.0829241,112,fallback,55 Grenoblestraße,Essen,Canillo,AD,45276,Shell,osm_enriched,2026-05-26T10:32:05.929487+00:00
OIL,fuel,51.4369868,7.1078578,112,fallback,1 Von-Ossietzky-Ring,Essen,Canillo,DE,45279,OIL,osm_enriched,2026-05-26T10:32:05.929487+00:00
Esso,fuel,51.4370971,7.0430603,49201263674,real,150 Ruhrallee,Essen,Canillo,DE,45136,Esso,osm_enriched,2026-05-26T10:32:05.929487+00:00
Unnamed hospital,hospital,52.9836214,8.8336345,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Score,fuel,53.5744689,7.7748581,494462922520,real,25 Auricher Straße,Wittmund,Canillo,AD,26409,Thomas Kupke,osm_enriched,2026-05-26T10:32:05.929487+00:00
Aral,fuel,53.5762517,7.7923647,4944625511,real,9 Jeverstraße,Wittmund,Canillo,AD,26409,Johann Hoofdmann,osm_enriched,2026-05-26T10:32:05.929487+00:00
Tankstelle HarleCenter,fuel,53.5852517,7.7704893,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Shell,fuel,51.6068877,7.5256077,112,fallback,,El Tarter,Canillo,AD,,Shell,osm_enriched,2026-05-26T10:32:05.929487+00:00
SCORE,fuel,53.5717444,7.7834421,49446223404,real,9 Isumser Straße,Wittmund,Canillo,AD,26409,Thomas Kuppke,osm_enriched,2026-05-26T10:32:05.929487+00:00
Marturia Gezondheidsplein,hospital,52.9994802,6.5513754,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
ARAL,fuel,51.5621546,7.0877708,112,fallback,243 Cranger Straße,El Tarter,Canillo,AD,45891,Aral,osm_enriched,2026-05-26T10:32:05.929487+00:00
Star,fuel,51.5366291,7.110725,112,fallback,314 Bismarckstraße,Gelsenkirchen,Canillo,DE,45889,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Esso,fuel,53.2519286,7.9321469,112,fallback,20 Ammerlandallee,Westerstede,Canillo,DE,26655,,osm_enriched,2026-05-26T10:32:05.929487+00:00
ARAL,fuel,51.4923178,7.0100591,112,fallback,288 Altenessener Straße,Essen,Canillo,DE,45326,Aral,osm_enriched,2026-05-26T10:32:05.929487+00:00
Esso Havelte,fuel,52.7512208,6.1894175,31521799800,real,2-pomp Rijksweg A32,Darp,Canillo,AD,7973KT,EG Group,osm_enriched,2026-05-26T10:32:05.929487+00:00
Shell,fuel,51.6339565,7.2735433,112,fallback,,El Tarter,Canillo,AD,,Shell,osm_enriched,2026-05-26T10:32:05.929487+00:00
Total,fuel,51.5735288,7.0480431,112,fallback,69 Horster Straße,Gelsenkirchen,Canillo,DE,45897,Total,osm_enriched,2026-05-26T10:32:05.929487+00:00
TinQ,fuel,53.0854312,6.5989842,112,fallback,1-3 Energieweg,Tynaarlo,Canillo,NL,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Esso,fuel,51.4252831,7.1584139,112,fallback,12 Dr.-C.-Otto-Straße,Bochum,Canillo,AD,44879,Esso,osm_enriched,2026-05-26T10:32:05.929487+00:00
Markant,fuel,51.7896127,8.8266926,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Aral,fuel,51.7322883,8.7648051,112,fallback,75 Detmolder Straße,Paderborn,Canillo,DE,33100,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Aral,fuel,53.0536946,8.7411402,112,fallback,,El Tarter,Canillo,AD,,Aral,osm_enriched,2026-05-26T10:32:05.929487+00:00
Tankstelle Freund,fuel,53.5883474,7.5652644,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
Henn,fuel,53.5747966,7.8935221,4944612196,real,18 Wittmunder Straße,El Tarter,Canillo,AD,26441,,osm_enriched,2026-05-26T10:32:05.929487+00:00
AVIA XPress,fuel,52.1803536,6.9138324,31881344000,real,379 Knalhutteweg,Enschede,Canillo,AD,7542PB,Weghorst,osm_enriched,2026-05-26T10:32:05.929487+00:00
Aral,fuel,51.8114524,9.8910802,112,fallback,,El Tarter,Canillo,AD,,Aral,osm_enriched,2026-05-26T10:32:05.929487+00:00
Shell Tankstelle,fuel,51.8137648,9.8791811,112,fallback,26 Altendorfer Tor,Einbeck,Canillo,DE,37574,,osm_enriched,2026-05-26T10:32:05.929487+00:00
bft,fuel,51.8948207,6.9754648,112,fallback,,El Tarter,Canillo,AD,,,osm_enriched,2026-05-26T10:32:05.929487+00:00
